-102 : 4422.1 ,-101 : 0 ,-100 : 0 ,-99 : 0 ,-98 : 4425.92 ,-97 : 0 ,-96 : 0 ,-95 : 0 ,-94 : 4429.1 ,-93 : 0 ,-92 : 0 ,-91 : 0 ,-90 : 4431.86 ,-89 : 0 ,-88 : 0 ,-87 : 0 ,-86 : 4434.48 ,-85 : 0 ,-84 : 0 ,-83 : 0 ,-82 : 4436.94 ,-81 : 0 ,-80 : 0 ,-79 : 0 ,-78 : 4439.34 ,-77 : 0 ,-76 : 0 ,-75 : 0 ,-74 : 4441.59 ,-73 : 0 ,-72 : 0 ,-71 : 0 ,-70 : 4443.75 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 4445.79 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 4447.72 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 4449.54 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 4451.24 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 4452.84 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 4454.3 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 4455.67 ,-41 : 0 ,-40 : 0 ,
-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 1332.72 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 1334.33 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 1335.8 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 1337.16 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1338.42 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1339.55 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1340.55 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1341.43 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1342.17 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1342.79 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1343.31 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1343.68 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1343.93 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1344.07 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1344.09 ,3 : 0 ,4 : 0 ,5 : 0 ,
-42 : 1248.66 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1249.92 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1251.07 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1252.08 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1252.96 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1253.73 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1254.35 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1254.84 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1255.21 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1255.46 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1255.57 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1255.57 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1255.45 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1255.17 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1254.79 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1254.25 ,19 : 0 ,20 : 0 ,
-42 : 1248.66 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1249.92 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1251.07 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1252.08 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1252.96 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1253.73 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1254.35 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1254.84 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1255.21 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1255.46 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1255.57 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1255.57 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1255.45 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1255.17 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1254.79 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1254.25 ,19 : 0 ,20 : 0 ,
-42 : 1248.66 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1249.92 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1251.07 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1252.08 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1252.96 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1253.73 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1254.35 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1254.84 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1255.21 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1255.46 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1255.57 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1255.57 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1255.45 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1255.17 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1254.79 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1254.25 ,19 : 0 ,20 : 0 ,
-27 : 0 ,-26 : 1252.75 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1253.48 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1254.11 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1254.57 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1254.95 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1255.2 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1255.36 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1255.39 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1255.27 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1255.05 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1254.67 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1254.16 ,19 : 0 ,20 : 0 ,21 : 0 ,22 : 1253.53 ,23 : 0 ,24 : 0 ,25 : 0 ,26 : 1252.79 ,27 : 0 ,28 : 0 ,29 : 0 ,30 : 1251.95 ,31 : 0 ,32 : 0 ,33 : 0 ,34 : 1250.94 ,35 : 0 ,
-27 : 0 ,-26 : 1252.75 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1253.48 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1254.11 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1254.57 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1254.95 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1255.2 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1255.36 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1255.39 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1255.27 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1255.05 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1254.67 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1254.16 ,19 : 0 ,20 : 0 ,21 : 0 ,22 : 1253.53 ,23 : 0 ,24 : 0 ,25 : 0 ,26 : 1252.79 ,27 : 0 ,28 : 0 ,29 : 0 ,30 : 1251.95 ,31 : 0 ,32 : 0 ,33 : 0 ,34 : 1250.94 ,35 : 0 ,
-27 : 0 ,-26 : 1252.75 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1253.48 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1254.11 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1254.57 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1254.95 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1255.2 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1255.36 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1255.39 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1255.27 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1255.05 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1254.67 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1254.16 ,19 : 0 ,20 : 0 ,21 : 0 ,22 : 1253.53 ,23 : 0 ,24 : 0 ,25 : 0 ,26 : 1252.79 ,27 : 0 ,28 : 0 ,29 : 0 ,30 : 1251.95 ,31 : 0 ,32 : 0 ,33 : 0 ,34 : 1250.94 ,35 : 0 ,
-12 : 0 ,-11 : 0 ,-10 : 1258.74 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1258.98 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1259.13 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1259.14 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1259.01 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1258.77 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1258.39 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1257.9 ,19 : 0 ,20 : 0 ,21 : 0 ,22 : 1257.26 ,23 : 0 ,24 : 0 ,25 : 0 ,26 : 1256.52 ,27 : 0 ,28 : 0 ,29 : 0 ,30 : 1255.66 ,31 : 0 ,32 : 0 ,33 : 0 ,34 : 1254.64 ,35 : 0 ,36 : 0 ,37 : 0 ,38 : 1253.54 ,39 : 0 ,40 : 0 ,41 : 0 ,42 : 1252.34 ,43 : 0 ,44 : 0 ,45 : 0 ,46 : 1250.97 ,47 : 0 ,48 : 0 ,49 : 0 ,50 : 1249.51 ,
-12 : 0 ,-11 : 0 ,-10 : 1258.74 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1258.98 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1259.13 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1259.14 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1259.01 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1258.77 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1258.39 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1257.9 ,19 : 0 ,20 : 0 ,21 : 0 ,22 : 1257.26 ,23 : 0 ,24 : 0 ,25 : 0 ,26 : 1256.52 ,27 : 0 ,28 : 0 ,29 : 0 ,30 : 1255.66 ,31 : 0 ,32 : 0 ,33 : 0 ,34 : 1254.64 ,35 : 0 ,36 : 0 ,37 : 0 ,38 : 1253.54 ,39 : 0 ,40 : 0 ,41 : 0 ,42 : 1252.34 ,43 : 0 ,44 : 0 ,45 : 0 ,46 : 1250.97 ,47 : 0 ,48 : 0 ,49 : 0 ,50 : 1249.51 ,
-12 : 0 ,-11 : 0 ,-10 : 1258.74 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1258.98 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1259.13 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1259.14 ,3 : 0 ,4 : 0 ,5 : 0 ,6 : 1259.01 ,7 : 0 ,8 : 0 ,9 : 0 ,10 : 1258.77 ,11 : 0 ,12 : 0 ,13 : 0 ,14 : 1258.39 ,15 : 0 ,16 : 0 ,17 : 0 ,18 : 1257.9 ,19 : 0 ,20 : 0 ,21 : 0 ,22 : 1257.26 ,23 : 0 ,24 : 0 ,25 : 0 ,26 : 1256.52 ,27 : 0 ,28 : 0 ,29 : 0 ,30 : 1255.66 ,31 : 0 ,32 : 0 ,33 : 0 ,34 : 1254.64 ,35 : 0 ,36 : 0 ,37 : 0 ,38 : 1253.54 ,39 : 0 ,40 : 0 ,41 : 0 ,42 : 1252.34 ,43 : 0 ,44 : 0 ,45 : 0 ,46 : 1250.97 ,47 : 0 ,48 : 0 ,49 : 0 ,50 : 1249.51 ,
