-14 : 666.3934752941 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.8413033485 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7940909863 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
-14 : 666.3934752941 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.8413033485 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7940909863 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
-14 : 666.3934752941 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.8413033485 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7940909863 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
-14 : 666.3934752941 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.8413033485 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7940909863 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 666.4888272285 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.4563078880 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 668.0137119293 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 665.9086945057 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.9064559937 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4614150524 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.2942080498 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.8193686008 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.8142035007 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.2942080498 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.8193686008 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.8142035007 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.2942080498 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.8193686008 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.8142035007 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.2942080498 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.8193686008 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.8142035007 ,
