-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-18 : 674.4369101524 ,-17 : 0.0000000000 ,-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 676.4535501003 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 677.7750823498 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-16 : 0.0000000000 ,-15 : 0.0000000000 ,-14 : 666.4622178078 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 667.7912960052 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 668.7505602837 ,
-14 : 666.8020167351 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 668.1139700413 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 669.0875380039 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
-14 : 666.8020167351 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 668.1139700413 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 669.0875380039 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
-14 : 666.8020167351 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 668.1139700413 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 669.0875380039 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
-14 : 666.8020167351 ,-13 : 0.0000000000 ,-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 668.1139700413 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 669.0875380039 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,
